departement,email,name,party,picture,twitter,featured,supporter
95,fiona.lazaar@assemblee-nationale.fr,Fiona Lazaar,Députée LREM,images/thumbs/fiona-lazaar.jpg,@fionalazaar,True,False
58,patrice.perrot@assemblee-nationale.fr,Patrice Perrot,Député LREM,images/thumbs/patrice-perrot.jpg,,True,False
44,sarah.elhairy@assemblee-nationale.fr,Sarah El Haïry,Députée MODEM,images/thumbs/sarah-el-hairy.jpg,@sarahelhairy,True,False
38,elodie.jacquier-laforge@assemblee-nationale.fr,Élodie Jacquier-Laforge,Députée MODEM,images/thumbs/elodie-jacquier-laforge.jpg,@elodiejala,True,False
07,fabrice.brun@assemblee-nationale.fr,Fabrice Brun,Député LR,images/thumbs/fabrice-brun.jpg,@FabriceBrun,True,False
11,daniele.herin@assemblee-nationale.fr,Danièle Hérin,Députée LREM,images/thumbs/daniele-herin.jpg,@Daniele_herin,True,False
57,richard.lioger@assemblee-nationale.fr,Richard Lioger,Député LREM,images/thumbs/richard-lioger.jpg,@LiogerRichard,True,False
62,benoit.potterie@assemblee-nationale.fr,Benoit Potterie,Député LREM,images/thumbs/benoit-potterie.jpg,@benoitpotterie,True,False
33,loic.prudhomme@assemblee-nationale.fr,Loïc Prud'homme,Député LFI,images/thumbs/loic-prud-homme.jpg,@PrudhommeLoic,True,False
60,agnes.thill@assemblee-nationale.fr,Agnès Thill,Députée LREM,images/thumbs/agnes-thill.jpg,@ThillAgnes,True,False
95,aurelien.tache@en-marche.fr,Aurélien Taché,Député LREM,images/thumbs/aurelien-tache.jpg,@Aurelientache,False,False
85,philippelatombe.enmarche85@gmail.com,Philippe Latombe,Député MODEM,images/thumbs/philippe-latombe.jpg,@platombe,True,False
13,eric.diard@assemblee-nationale.fr,Éric Diard,Député LR,images/thumbs/eric-diard.jpg,@DiardEric,True,False
69,yves.blein@assemblee-nationale.fr,Yves Blein,Député LREM,images/thumbs/yves-blein.jpg,@yves_blein,True,False
12,anne.blanc@assemblee-nationale.fr,Anne Blanc,Députée LREM,images/thumbs/anne-blanc.jpg,@AnneBlanc_12,True,False
93,sylvie.charriere@assemblee-nationale.fr,Sylvie Charrière,Députée LREM,images/thumbs/sylvie-charriere.jpg,@SylvieCharriere,True,False
60,pierre.vatin@assemblee-nationale.fr,Pierre Vatin,Député LR,images/thumbs/pierre-vatin.jpg,,False,False
44,permanence-depute@yves-daniel.org,Yves Daniel,Député LREM,images/thumbs/yves-daniel.jpg,@ydaniel_depute,False,False
13,valerie.boyer@assemblee-nationale.fr,Valérie Boyer,Députée LR,images/thumbs/valerie-boyer.jpg,@valerieboyer13,False,False
80,permanence@jcleclabart.fr,Jean-Claude Leclabart,Député LREM,images/thumbs/jean-claude-leclabart.jpg,@JLeclabart,True,False
77,rodrigue.kokouendo@assemblee-nationale.fr,Rodrigue Kokouendo,Député LREM,images/thumbs/rodrigue-kokouendo.jpg,@RKokouendoJ,True,False
31,monique.iborra@assemblee-nationale.fr,Monique Iborra,Députée LREM,images/thumbs/monique-iborra.jpg,@MoniqueIborra,True,False
91,pierre-alain.raphan@assemblee-nationale.fr,Pierre-Alain Raphan,Député LREM,images/thumbs/pierre-alain-raphan.jpg,@p_a_raphan,True,False
50,bertrand.sorre@assemblee-nationale.fr,Bertrand Sorre,Député LREM,images/thumbs/bertrand-sorre.jpg,@BertrandSorre,True,False
49,philippe.bolo@assemblee-nationale.fr,Philippe Bolo,Député MODEM,images/thumbs/philippe-bolo.jpg,@phbolo,True,False
69,cyrille.isaac-sibille@assemblee-nationale.fr,Cyrille Isaac-Sibille,Député MODEM,images/thumbs/cyrille-isaac-sibille.jpg,@Cisaacsibille,False,False
64,matteijeanpaul@icloud.com,Jean-Paul Mattei,Député MODEM,images/thumbs/jean-paul-mattei.jpg,@jp_mattei,True,False
987,sanquern@yahoo.fr,Nicole Sanquer,Députée UAI,images/thumbs/nicole-sanquer.jpg,,True,False
88,contact@stephaneviry.fr,Stéphane Viry,Député LR,images/thumbs/stephane-viry.jpg,@ViryStephane,True,False
30,francoise.dumas@assemblee-nationale.fr,Françoise Dumas,Députée LREM,images/thumbs/francoise-dumas.jpg,@fdumasdeputee,True,False
14,alain.tourret@assemblee-nationale.fr,Alain Tourret,Député LREM,images/thumbs/alain-tourret.jpg,@AlainTourret,True,False
16,sandra.marsaud@assemblee-nationale.fr,Sandra Marsaud,Députée LREM,images/thumbs/sandra-marsaud.jpg,@MARSAUDSandra,True,False
04,christophe.castaner@assemblee-nationale.fr,Christophe Castaner,Député LREM,images/thumbs/christophe-castaner.jpg,@CCastaner,True,False
31,mickael.nogal@assemblee-nationale.fr,Mickaël Nogal,Député LREM,images/thumbs/mickael-nogal.jpg,@mickaelnogal,False,False
24,jpcubertafon@orange.fr,Jean-Pierre Cubertafon,Député MODEM,images/thumbs/jean-pierre-cubertafon.jpg,,True,False
67,martine.wonner@assemblee-nationale.fr,Martine Wonner,Députée LREM,images/thumbs/martine-wonner.jpg,@MartineWonner,True,False
57,nicole.gries-trisse@assemblee-nationale.fr,Nicole Trisse,Députée LREM,images/thumbs/nicole-trisse.jpg,@NicoleTrisse,False,False
94,guillaume.gouffier-cha@assemblee-nationale.fr,Guillaume Gouffier-Cha,Député LREM,images/thumbs/guillaume-gouffier-cha.jpg,@g_gouffiercha,True,False
63,andre.chassaigne@assemblee-nationale.fr,André Chassaigne,Député GDR,images/thumbs/andre-chassaigne.jpg,@AndreChassaigne,True,False
40,Fabien.Laine@assemblee-nationale.fr,Fabien Lainé,Député MODEM,images/thumbs/fabien-laine.jpg,,True,False
84,Adrien.Morenas@assemblee-nationale.fr,Adrien Morenas,Député LREM,images/thumbs/adrien-morenas.jpg,@AdrienMorenas,True,False
25,fannette.charvier@assemblee-nationale.fr,Fannette Charvier,Députée LREM,images/thumbs/fannette-charvier.jpg,@F_Charvier,True,False
57,brahim.hammouche@assemblee-nationale.fr,Brahim Hammouche,Député MODEM,images/thumbs/brahim-hammouche.jpg,@BHammouche5708,False,False
33,contact@florentboudie.fr,Florent Boudié,Député LREM,images/thumbs/florent-boudie.jpg,@florent_boudie,False,False
62,j-maquet@orange.fr,Jacqueline Maquet,Députée LREM,images/thumbs/jacqueline-maquet.jpg,@JMaquetDeputee,False,False
22,eric.bothorel@assemblee-nationale.fr,Éric Bothorel,Député LREM,images/thumbs/eric-bothorel.jpg,@ebothorel,True,False
02C,jean-jacques.ferrara@assemblee-nationale.fr,Jean-Jacques Ferrara,Député LR,images/thumbs/jean-jacques-ferrara.jpg,@jjferrarafb,True,False
49,stella.dupont@assemblee-nationale.fr,Stella Dupont,Députée LREM,images/thumbs/stella-dupont.jpg,@stelladupont,False,False
63,laurence.vichnievsky@assemblee-nationale.fr,Laurence Vichnievsky,Députée MODEM,images/thumbs/laurence-vichnievsky.jpg,@LVichnievsky,False,False
63,michel.fanget@assemblee-nationale.fr,Michel Fanget,Député MODEM,images/thumbs/michel-fanget.jpg,@michelfanget,False,False
02,jacques.krabal@assemblee-nationale.fr,Jacques Krabal,Député LREM,images/thumbs/jacques-krabal.jpg,@JKrabal,True,False
69,thomas.gassilloud@assemblee-nationale.fr,Thomas Gassilloud,Député LREM,images/thumbs/thomas-gassilloud.jpg,@tgassilloud,False,False
59,anne-laure.cattelot@assemblee-nationale.fr,Anne-Laure Cattelot,Députée LREM,images/thumbs/anne-laure-cattelot.jpg,@ALCattelot,True,False
49,denis.masseglia@assemblee-nationale.fr,Denis Masséglia,Député LREM,images/thumbs/denis-masseglia.jpg,@denis_Masseglia,False,False
22,herve.berville@assemblee-nationale.fr,Hervé Berville,Député LREM,images/thumbs/herve-berville.jpg,@HerveBerville,False,False
999,contact@mjidelguerrab.fr,M'jid El Guerrab,Député NI,images/thumbs/m-jid-el-guerrab.jpg,@elguerrab_mjid,True,False
95,zivka.park@assemblee-nationale.fr,Zivka Park,Députée LREM,images/thumbs/zivka-park.jpg,@zivkapark,False,False
27,bruno.questel@assemblee-nationale.fr,Bruno Questel,Député LREM,images/thumbs/bruno-questel.jpg,@BQuestel,True,False
01,charlesdelaverpilliere@orange.fr,Charles de la Verpillière,Député LR,images/thumbs/charles-de-la-verpilliere.jpg,@delaverpilliere,True,False
93,alain.ramadier@assemblee-nationale.fr,Alain Ramadier,Député LR,images/thumbs/alain-ramadier.jpg,@alainramadier,False,False
13,bernard.reynes@assemblee-nationale.fr,Bernard Reynès,Député LR,images/thumbs/bernard-reynes.jpg,@bernardreynes,False,False
32,biemouret.gisele@orange.fr,Gisèle Biémouret,Députée NG,images/thumbs/gisele-biemouret.jpg,@GiseleBiemouret,True,False
